id,created_at,_keywords,platform,geo_lat,geo_lon,place,country,tweet_in_reply_to_id,retweet_count,favourite_count,user_id,user_screen_name,user_name,user_location,user_geoenabled,user_followers_count,user_friends_count,text
598276031297003522,Tue May 12 23:58:15 +0000 2015,the,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",41.15797589,-74.55489047,Crystal Springs Country Club,United States,,0,1,2809512607,OwlsNeverTweet,noe,New Jersey,True,43,72,Ready to go for the MRG Associates #80s #Karaoke #Party! #uplighting #kjams #owlsneverblink #nightowlentertainment http://t.co/4uy9ySH7UX
598276029170524161,Tue May 12 23:58:15 +0000 2015,the,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",42.07208883,-74.46045,"New York, USA",United States,,0,0,390895487,evanmNJD,Evan,mhss '16,True,478,1354,It's been 4 years and it's still weird not seeing you in the Catskills every summer. We miss you more… https://t.co/0YWGPhL0H6
598275907166560256,Tue May 12 23:57:46 +0000 2015,the,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4,0,1566611113,ryancicci22,Ryan Cicci,,False,260,178,RT @FMstudentsectio: Amazing way to end the season!!!! Big wins against west genny and caz for @FMBoysLacrosse #LEZZZZGOOO #gamesat
598275834345091072,Tue May 12 23:57:28 +0000 2015,the,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4,0,2187917920,tpapa14,Tyler Papa,,False,328,276,RT @FMstudentsectio: Amazing way to end the season!!!! Big wins against west genny and caz for @FMBoysLacrosse #LEZZZZGOOO #gamesat
598274838009147393,Tue May 12 23:53:31 +0000 2015,the,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",40.7829922,-75.604009,"Pennsylvania, USA",United States,,0,0,1632216812,Megelaine07,Megan Wetzel,,True,177,249,| living life on the edge | @ Lehigh Gap Appalachian Trail https://t.co/DDb6CIp1F1
598274340266749953,Tue May 12 23:51:32 +0000 2015,the,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,5,0,2867525302,GoshenHSNY,Goshen H.S.,,True,224,59,RT @GHS_Softball2: Great 1-0 win in 8 innings today vs Minisink. Haleigh Massa hits game winner &amp; @DionnaReynolds with a GREAT job on the m…
598274117696118784,Tue May 12 23:50:39 +0000 2015,the,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",40.62072595,-75.57869676,"Pennsylvania, USA",United States,,0,0,995925156,MorganImdorf,Morgan Imdorf,,True,250,220,Candids are the sweetest 💕 @ last one i swear https://t.co/8hxKCu96se
598273800204083200,Tue May 12 23:49:24 +0000 2015,the,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",43.2133167,-77.55440122,"Irondequoit, NY",United States,,0,0,312147174,alex_winslow,Alex Winslow ,"Buffalo, NY",True,274,168,Feeling very accomplished after all the hard work I've put into the backyard the past two days.… https://t.co/OcP1gB4PQb
598273346845941761,Tue May 12 23:47:35 +0000 2015,the,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",40.99820572,-74.17352278,"Wyckoff, NJ",United States,,0,0,45327558,bartc31,Bart Chlewicki,NJ,True,267,673,End the afternoon with some softball #oakland #braves #softball @ Wyckoff Community Park https://t.co/sU101MNLSA
598273164918071296,Tue May 12 23:46:52 +0000 2015,the,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",43.20751218,-77.67030018,"Greece, NY",United States,,0,2,3093782816,SmithRanique,яαиιqυє,,True,476,459,"After the things I really witnessed today ...it may be my last week loving white boy's, Puerto Ricans have my goddamn heart"
598272586578010112,Tue May 12 23:44:34 +0000 2015,the,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1,0,1206588529,ForeverBuffalo,Forever Buffalo,"Buffalo, NY",False,557,723,RT @lepetitpoutine: @ForeverBuffalo @eastenddennis The stars aligned! So happy to finally serve you #poutine
